"Plant","Treatment","Mass","Masssd","n"
"A.millefolium","Control",1.872,0.29252350332922,5
"A.millefolium","eCO2",3.23,0.718609768928867,5
"A.millefolium","Warming",2.342,0.74620372553345,5
"A.millefolium","Warming+eCO2",2.4175,1.21880747727714,5
"C.annuum","Control",0.978,0.330257475312823,5
"C.annuum","eCO2",0.8375,0.224258035902098,5
"C.annuum","Warming",0.506,0.194627850011246,5
"C.annuum","Warming+eCO2",0.4375,0.131497781983829,5
"H.rosa-sinensis","Control",10.1666666666667,1.07983023357069,3
"H.rosa-sinensis","eCO2",16.19,0.413884041731497,3
"H.rosa-sinensis","Warming",7.06333333333333,0.594754851458425,3
"H.rosa-sinensis","Warming+eCO2",6.05666666666667,1.19169347289197,3
"M.xpiperita","Control",7.12333333333333,1.16808960843479,3
"M.xpiperita","eCO2",6.66,0.901165911472466,3
"M.xpiperita","Warming",5.41333333333333,0.968366321870672,3
"M.xpiperita","Warming+eCO2",10.28,0.576541412215983,3
"P.pruinosa","Control",NA,NA,6
"P.pruinosa","eCO2",NA,NA,6
"P.pruinosa","Warming",NA,NA,6
"P.pruinosa","Warming+eCO2",NA,NA,6
"P.vulgaris","Control",3.4325,0.761506182947103,4
"P.vulgaris","eCO2",6.3075,1.94246192583879,4
"P.vulgaris","Warming",2.7025,0.663092502345387,4
"P.vulgaris","Warming+eCO2",4.22,0.266270539113887,4
"R.multiflora","Control",2.766,0.636969387019502,5
"R.multiflora","eCO2",4.624,1.01689724161294,5
"R.multiflora","Warming",1.384,0.343918595019228,5
"R.multiflora","Warming+eCO2",3.95,1.09893129903557,5
"S.lycopersicum","Control",3.64,0.331963853453957,4
"S.lycopersicum","eCO2",3.83666666666667,1.09472979923511,3
"S.lycopersicum","Warming",2.455,0.559315057309682,4
"S.lycopersicum","Warming+eCO2",0.823333333333333,0.29022979401387,3
"S.melongena","Control",4.43,1.52685952202552,4
"S.melongena","eCO2",4.4675,2.82916212567137,4
"S.melongena","Warming",3.335,1.55337267475216,4
"S.melongena","Warming+eCO2",7.0825,3.1347554396901,4
"S.tuberosum","Control",6.34666666666667,2.79096876848643,6
"S.tuberosum","eCO2",5.14833333333333,0.564744780114581,6
"S.tuberosum","Warming",4.71666666666667,0.863079756839811,6
"S.tuberosum","Warming+eCO2",6.2525,0.905625934552083,6
"T.majus","Control",4.70666666666667,2.74038926675269,3
"T.majus","eCO2",3.16333333333333,1.69098590571694,3
"T.majus","Warming",2.06,1.07093417164642,3
"T.majus","Warming+eCO2",3.12666666666667,0.41198705481281,3
